Interface             System         L State        Hold (secs) SNPA
ae1.0                 STC-PTX5000-1_em0 2 Down                0
ae2.0                 STC-PTX5000-1_em0-PTX-2 2 Up            2
xe-8/1/0.100          11f6.0001.0000 2  Up                   24
xe-8/1/0.101          11f6.0002.0000 2  Up                   24
xe-8/1/0.102          11f6.0003.0000 2  Up                   24
xe-8/1/0.103          11f6.0004.0000 2  Up                   27
xe-8/1/0.104          11f6.0005.0000 2  Up                   29
xe-8/1/0.105          11f6.0006.0000 2  Up                   22
xe-8/1/0.106          11f6.0007.0000 2  Up                   26
xe-8/1/0.107          11f6.0008.0000 2  Up                   27
xe-8/1/0.108          11f6.0009.0000 2  Up                   26
xe-8/1/0.109          11f6.000a.0000 2  Up                   28
xe-8/1/0.110          11f6.000b.0000 2  Up                   28
xe-8/1/0.111          11f6.000c.0000 2  Up                   29
xe-8/1/0.112          11f6.000d.0000 2  Up                   28
xe-8/1/0.113          11f6.000e.0000 2  Up                   27
xe-8/1/0.114          11f6.000f.0000 2  Up                   26
xe-8/1/0.115          11f6.0010.0000 2  Up                   25
xe-8/1/0.116          11f6.0011.0000 2  Up                   28
xe-8/1/0.117          11f6.0012.0000 2  Up                   28
xe-8/1/0.118          11f6.0013.0000 2  Up                   21
xe-8/1/0.119          11f6.0014.0000 2  Up                   26
xe-8/1/0.120          11f6.0015.0000 2  Up                   27
xe-8/1/0.121          11f6.0016.0000 2  Up                   28
xe-8/1/0.122          11f6.0017.0000 2  Up                   24
xe-8/1/0.123          11f6.0018.0000 2  Up                   25
xe-8/1/0.124          11f6.0019.0000 2  Up                   26
xe-8/1/0.125          11f6.001a.0000 2  Up                   27
xe-8/1/0.126          11f6.001b.0000 2  Up                   20
xe-8/1/0.127          11f6.001c.0000 2  Up                   24
xe-8/1/0.128          11f6.001d.0000 2  Up                   25
xe-8/1/0.129          11f6.001e.0000 2  Up                   27
xe-8/1/0.130          11f6.001f.0000 2  Up                   25
xe-8/1/0.131          11f6.0020.0000 2  Up                   26
xe-8/1/0.132          11f6.0021.0000 2  Up                   23
xe-8/1/0.133          11f6.0022.0000 2  Up                   23
xe-8/1/0.134          11f6.0023.0000 2  Up                   29
xe-8/1/0.135          11f6.0024.0000 2  Up                   24
xe-8/1/0.136          11f6.0025.0000 2  Up                   29
xe-8/1/0.137          11f6.0026.0000 2  Up                   24
xe-8/1/0.138          11f6.0027.0000 2  Up                   25
xe-8/1/0.139          11f6.0028.0000 2  Up                   26
xe-8/1/0.140          11f6.0029.0000 2  Up                   21
xe-8/1/0.141          11f6.002a.0000 2  Up                   27
xe-8/1/0.142          11f6.002b.0000 2  Up                   25
xe-8/1/0.143          11f6.002c.0000 2  Up                   24
xe-8/1/0.144          11f6.002d.0000 2  Up                   24
xe-8/1/0.145          11f6.002e.0000 2  Up                   29
xe-8/1/0.146          11f6.002f.0000 2  Up                   22
xe-8/1/0.147          11f6.0030.0000 2  Up                   23
xe-8/1/0.148          11f6.0031.0000 2  Up                   21
xe-8/1/0.149          11f6.0032.0000 2  Up                   21
xe-8/1/0.150          11f6.0033.0000 2  Up                   21
xe-8/1/0.151          11f6.0034.0000 2  Up                   29
xe-8/1/0.152          11f6.0035.0000 2  Up                   23
xe-8/1/0.153          11f6.0036.0000 2  Up                   27
xe-8/1/0.154          11f6.0037.0000 2  Up                   28
xe-8/1/0.155          11f6.0038.0000 2  Up                   25
xe-8/1/0.156          11f6.0039.0000 2  Up                   25
xe-8/1/0.157          11f6.003a.0000 2  Up                   27
xe-8/1/0.158          11f6.003b.0000 2  Up                   23
xe-8/1/0.159          11f6.003c.0000 2  Up                   21
xe-8/1/0.160          11f6.003d.0000 2  Up                   25
xe-8/1/0.161          11f6.003e.0000 2  Up                   28
xe-8/1/0.162          11f6.003f.0000 2  Up                   22
xe-8/1/0.163          11f6.0040.0000 2  Up                   26
xe-8/1/0.164          11f6.0041.0000 2  Up                   21
xe-8/1/0.165          11f6.0042.0000 2  Up                   28
xe-8/1/0.166          11f6.0043.0000 2  Up                   25
xe-8/1/0.167          11f6.0044.0000 2  Up                   28
xe-8/1/0.168          11f6.0045.0000 2  Up                   26
xe-8/1/0.169          11f6.0046.0000 2  Up                   22
xe-8/1/0.170          11f6.0047.0000 2  Up                   25
xe-8/1/0.171          11f6.0048.0000 2  Up                   28
xe-8/1/0.172          11f6.0049.0000 2  Up                   28
xe-8/1/0.173          11f6.004a.0000 2  Up                   24
xe-8/1/0.174          11f6.004b.0000 2  Up                   29
xe-8/1/0.175          11f6.004c.0000 2  Up                   24
xe-8/1/0.176          11f6.004d.0000 2  Up                   22
xe-8/1/0.177          11f6.004e.0000 2  Up                   21
xe-8/1/0.178          11f6.004f.0000 2  Up                   27
xe-8/1/0.179          11f6.0050.0000 2  Up                   25
xe-8/1/0.180          11f6.0051.0000 2  Up                   25
xe-8/1/0.181          11f6.0052.0000 2  Up                   25
xe-8/1/0.182          11f6.0053.0000 2  Up                   24
xe-8/1/0.183          11f6.0054.0000 2  Up                   22
xe-8/1/0.184          11f6.0055.0000 2  Up                   24
xe-8/1/0.185          11f6.0056.0000 2  Up                   29
xe-8/1/0.186          11f6.0057.0000 2  Up                   22
xe-8/1/0.187          11f6.0058.0000 2  Up                   23
xe-8/1/0.188          11f6.0059.0000 2  Up                   21
xe-8/1/0.189          11f6.005a.0000 2  Up                   26
xe-8/1/0.190          11f6.005b.0000 2  Up                   27
xe-8/1/0.191          11f6.005c.0000 2  Up                   23
xe-8/1/0.192          11f6.005d.0000 2  Up                   27
xe-8/1/0.193          11f6.005e.0000 2  Up                   28
xe-8/1/0.194          11f6.005f.0000 2  Up                   24
xe-8/1/0.195          11f6.0060.0000 2  Up                   26
xe-8/1/0.196          11f6.0061.0000 2  Up                   23
xe-8/1/0.197          11f6.0062.0000 2  Up                   25
xe-8/1/0.198          11f6.0063.0000 2  Up                   29
xe-8/1/0.199          11f6.0064.0000 2  Up                   28

{master}
